DATE,CB-GNPYC,GNPYC,CB-GNP,GNP
1/1/48,3.46342,2.93785,2049.3,2004.2
4/1/48,4.49144,4.72421,2075.2,2037.2
7/1/48,4.9374,5.41862,2087.1,2048.6
10/1/48,3.34813,3.87479,2095.9,2050.8
1/1/49,0.649,0.90809,2062.6,2022.4
4/1/49,-1.383,-1.075,2046.5,2015.3
7/1/49,-0.69474,-0.56624,2072.6,2037
10/1/49,-2.07548,-1.614,2052.4,2017.7
1/1/50,3.4762,3.75791,2134.3,2098.4
4/1/50,7.30027,7.28924,2195.9,2162.2
7/1/50,10.10808,10.32401,2282.1,2247.3
10/1/50,13.50127,13.51043,2329.5,2290.3
1/1/51,10.7342,10.60332,2363.4,2320.9
4/1/51,9.62248,9.29609,2407.2,2363.2
7/1/51,7.42299,7.33769,2451.5,2412.2
10/1/51,5.38742,5.59315,2455,2418.4
1/1/52,4.78971,5.25658,2476.6,2442.9
4/1/52,2.88717,3.58835,2476.7,2448
7/1/52,2.1701,2.20546,2504.7,2465.4
10/1/52,5.33198,5.25554,2585.9,2545.5
1/1/53,6.31511,6.11568,2633,2592.3
4/1/53,7.17083,6.75245,2654.3,2613.3
7/1/53,5.3699,5.34193,2639.2,2597.1
10/1/53,0.39831,0.48713,2596.2,2557.9
1/1/54,-1.98253,-1.73591,2580.8,2547.3
4/1/54,-2.78416,-2.42605,2580.4,2549.9
7/1/54,-0.93589,-0.70463,2614.5,2578.8
10/1/54,2.86958,2.84608,2670.7,2630.7
1/1/55,6.6026,6.21835,2751.2,2705.7
4/1/55,8.1964,7.81207,2791.9,2749.1
7/1/55,8.25014,8.03862,2830.2,2786.1
10/1/55,6.97944,6.55339,2857.1,2803.1
1/1/56,3.55481,3.27457,2849,2794.3
4/1/56,2.53233,2.4699,2862.6,2817
7/1/56,1.24726,1.04447,2865.5,2815.2
10/1/56,1.63452,1.97638,2903.8,2858.5
1/1/57,2.96244,3.06338,2933.4,2879.9
4/1/57,2.32656,2.06248,2929.2,2875.1
7/1/57,3.03612,3.08326,2952.5,2902
10/1/57,0.00689,0.33584,2904,2868.1
1/1/58,-3.25561,-2.96191,2837.9,2794.6
4/1/58,-2.5775,-2.15297,2853.7,2813.2
7/1/58,-0.78239,-0.85114,2929.4,2877.3
10/1/58,3.57094,2.64635,3007.7,2944
1/1/59,7.65707,7.28906,3055.2,2998.3
4/1/59,9.49644,9.15683,3124.7,3070.8
7/1/59,6.47914,6.56518,3119.2,3066.2
10/1/59,4.15932,4.59579,3132.8,3079.3
1/1/60,5.03404,4.95281,3209,3146.8
4/1/60,2.21141,2.10043,3193.8,3135.3
7/1/60,2.58079,2.53408,3199.7,3143.9
10/1/60,0.78843,0.90605,3157.5,3107.2
1/1/61,-0.78218,-0.55294,3183.9,3129.4
4/1/61,1.59997,1.61707,3244.9,3186
7/1/61,3.1503,3.03445,3300.5,3239.3
10/1/61,6.77751,6.36586,3371.5,3305
1/1/62,7.85829,7.49664,3434.1,3364
4/1/62,6.85691,6.7828,3467.4,3402.1
7/1/62,6.03848,6.02599,3499.8,3434.5
10/1/62,4.2622,4.42965,3515.2,3451.4
1/1/63,3.36624,3.69203,3549.7,3488.2
4/1/63,3.73479,3.82705,3596.9,3532.3
7/1/63,4.76599,4.85369,3666.6,3601.2
10/1/63,5.21165,5.10517,3698.4,3627.6
1/1/64,6.39772,6.29838,3776.8,3707.9
4/1/64,6.11638,6.17728,3816.9,3750.5
7/1/64,5.47101,5.57314,3867.2,3801.9
10/1/64,4.94809,5.11633,3881.4,3813.2
1/1/65,5.54173,5.45862,3986.1,3910.3
4/1/65,5.86078,5.70057,4040.6,3964.3
7/1/65,6.4336,6.31526,4116,4042
10/1/65,8.41449,8.41026,4208,4133.9
1/1/66,8.28379,8.33696,4316.3,4236.3
4/1/66,7.1524,7.29763,4329.6,4253.6
7/1/66,6.07872,5.96239,4366.2,4283
10/1/66,4.75998,4.51874,4408.3,4320.7
1/1/67,3.14158,2.91528,4451.9,4359.8
4/1/67,2.80395,2.56724,4451,4362.8
7/1/67,2.93161,2.80411,4494.2,4403.1
