DATE,CB-GNPYC,GNPYC,CB-GNP,GNP,OPHMFG,OPHNFB,OUTMS,OUTNFB,T-GDP,OUTMS-A,MANEMP
1/1/48,3.46342,2.93785,2049.3,2004.2,None,None,None,None,None,None,14380
4/1/48,4.49144,4.72421,2075.2,2037.2,None,None,None,None,None,None,14245
7/1/48,4.9374,5.41862,2087.1,2048.6,None,None,None,None,None,None,14384
10/1/48,3.34813,3.87479,2095.9,2050.8,None,None,None,None,None,None,14256
1/1/49,0.649,0.90809,2062.6,2022.4,None,None,None,None,None,None,13727
4/1/49,-1.383,-1.075,2046.5,2015.3,None,None,None,None,None,None,13295
7/1/49,-0.69474,-0.56624,2072.6,2037,None,None,None,None,None,None,13150
10/1/49,-2.07548,-1.614,2052.4,2017.7,None,None,None,None,None,None,12945
1/1/50,3.4762,3.75791,2134.3,2098.4,None,None,None,None,None,17.23164,13207
4/1/50,7.30027,7.28924,2195.9,2162.2,None,None,None,None,None,None,13725
7/1/50,10.10808,10.32401,2282.1,2247.3,None,None,None,None,None,None,14365
10/1/50,13.50127,13.51043,2329.5,2290.3,None,None,None,None,None,None,14760
1/1/51,10.7342,10.60332,2363.4,2320.9,None,None,None,None,None,19.20904,15050
4/1/51,9.62248,9.29609,2407.2,2363.2,None,None,None,None,None,None,15169
7/1/51,7.42299,7.33769,2451.5,2412.2,None,None,None,None,None,None,15056
10/1/51,5.38742,5.59315,2455,2418.4,None,None,None,None,None,None,15006
1/1/52,4.78971,5.25658,2476.6,2442.9,None,None,None,None,None,19.86817,15100
4/1/52,2.88717,3.58835,2476.7,2448,None,None,None,None,None,None,15044
7/1/52,2.1701,2.20546,2504.7,2465.4,None,None,None,None,None,None,15180
10/1/52,5.33198,5.25554,2585.9,2545.5,None,None,None,None,None,None,15835
1/1/53,6.31511,6.11568,2633,2592.3,None,None,None,None,None,21.18644,16165
4/1/53,7.17083,6.75245,2654.3,2613.3,None,None,None,None,None,None,16326
7/1/53,5.3699,5.34193,2639.2,2597.1,None,None,None,None,None,None,16261
10/1/53,0.39831,0.48713,2596.2,2557.9,None,None,None,None,None,None,15763
1/1/54,-1.98253,-1.73591,2580.8,2547.3,None,None,None,None,None,19.77401,15315
4/1/54,-2.78416,-2.42605,2580.4,2549.9,None,None,None,None,None,None,14983
7/1/54,-0.93589,-0.70463,2614.5,2578.8,None,None,None,None,None,None,14792
10/1/54,2.86958,2.84608,2670.7,2630.7,None,None,None,None,None,None,14907
1/1/55,6.6026,6.21835,2751.2,2705.7,None,None,None,None,None,21.84557,15143
4/1/55,8.1964,7.81207,2791.9,2749.1,None,None,None,None,None,None,15484
7/1/55,8.25014,8.03862,2830.2,2786.1,None,None,None,None,None,None,15654
10/1/55,6.97944,6.55339,2857.1,2803.1,None,None,None,None,None,None,15804
1/1/56,3.55481,3.27457,2849,2794.3,None,None,None,None,None,21.65725,15867
4/1/56,2.53233,2.4699,2862.6,2817,None,None,None,None,None,None,15879
7/1/56,1.24726,1.04447,2865.5,2815.2,None,None,None,None,None,None,15741
10/1/56,1.63452,1.97638,2903.8,2858.5,None,None,None,None,None,None,15937
1/1/57,2.96244,3.06338,2933.4,2879.9,None,None,None,None,None,21.93974,15987
4/1/57,2.32656,2.06248,2929.2,2875.1,None,None,None,None,None,None,15925
7/1/57,3.03612,3.08326,2952.5,2902,None,None,None,None,None,None,15810
10/1/57,0.00689,0.33584,2904,2868.1,None,None,None,None,None,None,15466
1/1/58,-3.25561,-2.96191,2837.9,2794.6,None,None,None,None,None,20.15066,14903
4/1/58,-2.5775,-2.15297,2853.7,2813.2,None,None,None,None,None,None,14443
7/1/58,-0.78239,-0.85114,2929.4,2877.3,None,None,None,None,None,None,14544
10/1/58,3.57094,2.64635,3007.7,2944,None,None,None,None,None,None,14736
1/1/59,7.65707,7.28906,3055.2,2998.3,None,None,None,None,None,22.50471,15124
4/1/59,9.49644,9.15683,3124.7,3070.8,None,None,None,None,None,None,15475
7/1/59,6.47914,6.56518,3119.2,3066.2,None,None,None,None,None,None,15360
10/1/59,4.15932,4.59579,3132.8,3079.3,None,None,None,None,None,None,15344
1/1/60,5.03404,4.95281,3209,3146.8,None,None,None,None,9.166206516,22.59887,15720
4/1/60,2.21141,2.10043,3193.8,3135.3,None,None,None,None,None,None,15565
7/1/60,2.58079,2.53408,3199.7,3143.9,None,None,None,None,None,None,15368
10/1/60,0.78843,0.90605,3157.5,3107.2,None,None,None,None,None,None,15097
1/1/61,-0.78218,-0.55294,3183.9,3129.4,None,None,None,None,8.929522457,22.59887,14822
4/1/61,1.59997,1.61707,3244.9,3186,None,None,None,None,None,None,14913
7/1/61,3.1503,3.03445,3300.5,3239.3,None,None,None,None,None,None,15067
10/1/61,6.77751,6.36586,3371.5,3305,None,None,None,None,None,None,15237
1/1/62,7.85829,7.49664,3434.1,3364,None,None,None,None,8.940670963,24.67043,15395
4/1/62,6.85691,6.7828,3467.4,3402.1,None,None,None,None,None,None,15518
7/1/62,6.03848,6.02599,3499.8,3434.5,None,None,None,None,None,None,15536
10/1/62,4.2622,4.42965,3515.2,3451.4,None,None,None,None,None,None,15540
1/1/63,3.36624,3.69203,3549.7,3488.2,None,None,None,None,8.957093642,26.742,15550
4/1/63,3.73479,3.82705,3596.9,3532.3,None,None,None,None,None,None,15622
7/1/63,4.76599,4.85369,3666.6,3601.2,None,None,None,None,None,None,15655
10/1/63,5.21165,5.10517,3698.4,3627.6,None,None,None,None,None,None,15700
1/1/64,6.39772,6.29838,3776.8,3707.9,None,None,None,None,9.200933217,28.62524,15742
4/1/64,6.11638,6.17728,3816.9,3750.5,None,None,None,None,None,None,15812
7/1/64,5.47101,5.57314,3867.2,3801.9,None,None,None,None,None,None,15969
10/1/64,4.94809,5.11633,3881.4,3813.2,None,None,None,None,None,None,16031
1/1/65,5.54173,5.45862,3986.1,3910.3,None,None,None,None,9.224149523,31.45009,16296
4/1/65,5.86078,5.70057,4040.6,3964.3,None,None,None,None,None,None,16483
7/1/65,6.4336,6.31526,4116,4042,None,None,None,None,None,None,16734
10/1/65,8.41449,8.41026,4208,4133.9,None,None,None,None,None,None,16959
1/1/66,8.28379,8.33696,4316.3,4236.3,None,None,None,None,9.570552147,34.18079,17277
4/1/66,7.1524,7.29763,4329.6,4253.6,None,None,None,None,None,None,17625
7/1/66,6.07872,5.96239,4366.2,4283,None,None,None,None,None,None,17843
10/1/66,4.75998,4.51874,4408.3,4320.7,None,None,None,None,None,None,17978
1/1/67,3.14158,2.91528,4451.9,4359.8,None,None,None,None,9.678542416,33.99247,17984
4/1/67,2.80395,2.56724,4451,4362.8,None,None,None,None,None,None,17841
7/1/67,2.93161,2.80411,4494.2,4403.1,None,None,None,None,None,None,17828
10/1/67,2.77204,2.70095,4530.5,4437.4,None,None,None,None,None,None,17937
1/1/68,3.85678,3.85109,4623.6,4527.7,None,None,None,None,10.0265252,35.87571,18054
4/1/68,5.63694,5.53314,4701.9,4604.2,None,None,None,None,None,None,18183
7/1/68,5.33577,5.33715,4734,4638.1,None,None,None,None,None,None,18257
10/1/68,4.96413,4.98039,4755.4,4658.4,None,None,None,None,None,None,18350
1/1/69,4.52461,4.47689,4832.8,4730.4,None,None,None,None,10.04020002,36.81733,18497
4/1/69,3.02644,3.04287,4844.2,4744.3,None,None,None,None,None,None,18594
7/1/69,2.94888,2.89558,4873.6,4772.4,None,None,None,None,None,None,18676
10/1/69,2.06712,2.00283,4853.7,4751.7,None,None,None,None,None,None,18522
1/1/70,0.2483,0.28962,4844.8,4744.1,None,None,None,None,10.73256968,34.74576,18382
4/1/70,0.2085,0.19392,4854.3,4753.5,None,None,None,None,None,None,18055
7/1/70,0.3283,0.47146,4889.6,4794.9,None,None,None,None,None,None,17783
10/1/70,-0.36879,-0.17678,4835.8,4743.3,None,None,None,None,None,None,17169
1/1/71,2.61311,2.755,4971.4,4874.8,None,None,None,None,10.73036642,35.68738,17217
4/1/71,2.99734,3.1703,4999.8,4904.2,None,None,None,None,None,None,17171
7/1/71,2.8939,3.00319,5031.1,4938.9,None,None,None,None,None,None,17132
10/1/71,4.33641,4.46314,5045.5,4955,None,None,None,None,None,None,17165
1/1/72,3.29686,3.48527,5135.3,5044.7,None,None,None,None,11.31117105,38.88889,17364
4/1/72,4.9682,5.22002,5248.2,5160.2,None,None,None,None,None,None,17584
7/1/72,5.31494,5.49515,5298.5,5210.3,None,None,None,None,None,None,17690
10/1/72,6.89525,6.88194,5393.4,5296,None,None,None,None,None,None,18019
1/1/73,7.57891,7.66349,5524.5,5431.3,None,None,None,None,13.05023489,42.84369,18393
4/1/73,6.16783,6.492,5571.9,5495.2,None,None,None,None,None,None,18567
7/1/73,4.84854,5.04769,5555.4,5473.3,None,None,None,None,None,None,18612
10/1/73,4.08091,4.30891,5613.5,5524.2,None,None,None,None,None,None,18765
1/1/74,0.24256,1.04947,5537.9,5488.3,None,None,None,None,16.40701822,40.86629,18738
4/1/74,-0.87223,0.07097,5523.3,5499.1,None,None,None,None,None,None,18693
7/1/74,-1.73705,-0.59196,5458.9,5440.9,None,None,None,None,None,None,18573
10/1/74,-3.21724,-2.03649,5432.9,5411.7,None,None,None,None,None,None,18045
1/1/75,-3.08601,-2.71669,5367,5339.2,None,None,None,None,15.47945051,38.04143,17067
4/1/75,-2.09657,-2.16035,5407.5,5380.3,None,None,None,None,None,None,16732
7/1/75,0.87747,0.56976,5506.8,5471.9,None,None,None,None,None,None,16802
10/1/75,2.91005,2.62025,5591,5553.5,None,None,None,None,None,None,17050
1/1/76,6.43376,6.31181,5712.3,5676.2,None,None,None,None,16.01315944,42.0904,17380
4/1/76,6.4503,6.32678,5756.3,5720.7,None,None,None,None,None,None,17525
7/1/76,4.99019,5.08416,5781.6,5750.1,None,None,None,None,None,None,17595
10/1/76,4.36595,4.3324,5835.1,5794.1,None,None,None,None,None,None,17650
1/1/77,3.26488,3.39135,5898.8,5868.7,None,None,None,None,16.38547598,45.48023,17862
4/1/77,4.16413,4.55713,5996,5981.4,None,None,None,None,None,None,18108
7/1/77,5.20963,5.83294,6082.8,6085.5,None,None,None,None,None,None,18290
10/1/77,4.60146,4.92225,6103.6,6079.3,None,None,None,None,None,None,18435
1/1/78,3.80247,4.0912,6123.1,6108.8,None,None,None,None,16.93715148,47.83427,18644
4/1/78,5.79386,5.88491,6343.4,6333.4,None,None,None,None,None,None,18846
7/1/78,5.30348,5.16145,6405.4,6399.6,None,None,None,None,None,None,19008
10/1/78,6.67966,6.80835,6511.3,6493.2,None,None,None,None,None,None,19244
1/1/79,6.42648,6.52829,6516.6,6507.6,None,None,None,None,18.34262044,49.43503,19417
4/1/79,2.8975,3.00155,6527.2,6523.5,None,None,None,None,None,None,19504
7/1/79,2.48072,2.88768,6564.3,6584.4,None,None,None,None,None,None,19460
10/1/79,0.64657,1.65404,6553.4,6600.6,None,None,None,None,None,None,19330
1/1/80,0.2931,1.77792,6535.7,6623.3,None,None,None,None,20.07339725,46.89266,19239
4/1/80,-2.1847,-0.60704,6384.6,6483.9,None,None,None,None,None,None,18730
7/1/80,-2.94472,-1.74807,6371,6469.3,None,None,None,None,None,None,18378
10/1/80,-1.11393,-0.41814,6480.4,6573,None,None,None,None,None,None,18582
1/1/81,1.16437,1.3377,6611.8,6711.9,None,None,None,None,19.40225902,49.15254,18633
4/1/81,2.83808,2.70825,6565.8,6659.5,None,None,None,None,None,None,18755
7/1/81,4.52048,4.17201,6659,6739.2,None,None,None,None,None,None,18748
10/1/81,1.79001,1.47269,6596.4,6669.8,None,None,None,None,None,None,18399
1/1/82,-1.80737,-2.33168,6492.3,6555.4,None,None,None,None,17.53045075,45.57439,17962
4/1/82,-0.32441,-0.89797,6544.5,6599.7,None,None,None,None,None,None,17567
7/1/82,-2.17,-2.60417,6514.5,6563.7,None,None,None,None,None,None,17171
10/1/82,-1.12334,-1.53378,6522.3,6567.5,None,None,None,None,None,None,16755
1/1/83,1.94692,1.47054,6618.7,6651.8,None,None,None,None,16.64681676,49.15254,16707
4/1/83,3.53274,3.13196,6775.7,6806.4,None,None,None,None,None,None,16880
7/1/83,6.09256,5.72848,6911.4,6939.7,None,None,None,None,None,None,17144
10/1/83,8.33602,7.86448,7066,7084,None,None,None,None,None,None,17466
1/1/84,8.79931,8.50747,7201.1,7217.7,None,None,None,None,17.50912529,53.86064,17721
4/1/84,8.09658,7.89257,7324.3,7343.6,None,None,None,None,None,None,17918
7/1/84,7.10999,6.84179,7402.8,7414.5,None,None,None,None,None,None,18022
10/1/84,5.59581,5.38396,7461.4,7465.4,None,None,None,None,None,None,18021
1/1/85,4.59791,4.26313,7532.2,7525.4,None,None,None,None,16.57421411,55.55556,17971
4/1/85,3.81606,3.44109,7603.8,7596.3,None,None,None,None,None,None,17853
7/1/85,4.08359,3.9126,7705.1,7704.6,None,None,None,None,None,None,17750
10/1/85,3.95636,4.03997,7756.6,7767,None,None,None,None,None,None,17699
1/1/86,3.80765,4.08483,7819,7832.8,None,None,None,None,16.85927817,55.55556,17658
4/1/86,3.45748,3.42535,7866.7,7856.5,None,None,None,None,None,None,17580
7/1/86,3.02008,3.04234,7937.8,7939,None,None,None,None,None,None,17495
10/1/86,2.62873,2.59946,7960.5,7968.9,None,None,None,None,None,None,17476
1/1/87,2.50032,2.48442,8014.5,8027.4,None,None,None,None,17.91825703,59.60452,17490
4/1/87,2.97329,3.3921,8100.6,8123,None,None,None,None,None,None,17535
7/1/87,2.88745,3.22963,8167,8195.4,None,None,None,None,None,None,17638
10/1/87,4.35023,4.56776,8306.8,8332.9,None,None,None,None,None,None,17771
1/1/88,4.30595,4.49336,8359.6,8388.1,48.556,62.622,73.8,55.325,19.01131795,63.84181,17819
4/1/88,4.48609,4.5722,8464,8494.4,48.607,62.793,74.379,56.269,None,None,17894
7/1/88,4.39329,4.18649,8525.8,8538.5,48.482,62.978,74.44,56.59,None,None,17910
10/1/88,3.8944,3.8606,8630.3,8654.6,48.735,63.223,75.266,57.441,None,None,17998
1/1/89,4.2825,4.20119,8717.6,8740.5,48.988,63.13,75.849,57.92,19.3598875,64.50094,18057
4/1/89,3.68266,3.68125,8775.7,8807.1,48.697,63.369,75.382,58.371,None,None,18036
7/1/89,3.8706,3.95503,8855.8,8876.2,48.488,63.699,74.815,58.808,None,None,17955
10/1/89,2.89677,2.88633,8880.3,8904.4,48.947,63.734,74.826,58.849,None,None,17887
1/1/90,2.79435,2.95178,8961.2,8998.5,49.712,64.282,75.455,59.495,19.76060562,63.65348,17853
4/1/90,2.75761,2.59336,9017.7,9035.5,50.052,64.864,75.959,59.701,None,None,17806
7/1/90,1.56395,1.7316,8994.3,9029.9,50.691,65.13,76.115,59.569,None,None,17654
10/1/90,0.36373,0.92314,8912.6,8986.6,50.611,64.605,74.779,58.786,None,None,17467
1/1/91,-0.82578,-0.78902,8887.2,8927.5,50.568,64.804,73.072,58.349,19.73551205,62.71186,17227
4/1/91,-0.62211,-0.61646,8961.6,8979.8,51.174,65.859,73.543,58.94,None,None,17069
