DATE,REAL GDP VALUE,3 MONTH T-BILL VALUE
1/1/66,4201.9,4.59
4/1/66,4219.1,4.5
7/1/66,4249.2,5.37
10/1/66,4285.6,4.96
1/1/67,4324.9,4.26
4/1/67,4328.7,3.54
7/1/67,4366.1,4.42
10/1/67,4401.2,4.97
1/1/68,4490.6,5.17
4/1/68,4566.4,5.52
7/1/68,4599.3,5.19
10/1/68,4619.8,5.96
1/1/69,4691.6,6.02
4/1/69,4706.7,6.44
7/1/69,4736.1,7.09
10/1/69,4715.5,7.82
1/1/70,4707.1,6.63
4/1/70,4715.4,6.68
7/1/70,4757.2,6.12
10/1/70,4708.3,4.87
1/1/71,4834.3,3.38
4/1/71,4861.9,4.75
7/1/71,4900,4.69
10/1/71,4914.3,4.01
1/1/72,5002.4,3.73
4/1/72,5118.3,3.91
7/1/72,5165.4,4.66
10/1/72,5251.2,5.07
1/1/73,5380.5,6.09
4/1/73,5441.5,7.19
7/1/73,5411.9,8.29
10/1/73,5462.4,7.45
1/1/74,5417,7.96
4/1/74,5431.3,7.9
7/1/74,5378.7,8.06
10/1/74,5357.2,7.15
1/1/75,5292.4,5.49
4/1/75,5333.2,5.34
7/1/75,5421.4,6.42
10/1/75,5494.4,5.44
1/1/76,5618.5,5
4/1/76,5661,5.41
7/1/76,5689.8,5.08
10/1/76,5732.5,4.35
1/1/77,5799.2,4.6
4/1/77,5913,5.02
7/1/77,6017.6,5.81
10/1/77,6018.2,6.07
1/1/78,6039.2,6.29
4/1/78,6274,6.73
7/1/78,6335.3,7.85
10/1/78,6420.3,9.08
1/1/79,6433,9.48
4/1/79,6440.8,9.06
7/1/79,6487.1,10.26
10/1/79,6503.9,12.04
1/1/80,6524.9,15.2
4/1/80,6392.6,7.07
7/1/80,6382.9,10.27
10/1/80,6501.2,15.49
1/1/81,6635.7,13.36
4/1/81,6587.3,14.73
7/1/81,6662.9,14.7
10/1/81,6585.1,10.85
1/1/82,6475,12.68
4/1/82,6510.2,12.47
7/1/82,6486.8,7.92
10/1/82,6493.1,7.94
1/1/83,6578.2,8.35
4/1/83,6728.3,8.79
7/1/83,6860,9
10/1/83,7001.5,9
1/1/84,7140.6,9.52
4/1/84,7266,9.87
7/1/84,7337.5,10.37
10/1/84,7396,8.06
1/1/85,7469.5,8.52
4/1/85,7537.9,6.95
7/1/85,7655.2,7.1
10/1/85,7712.6,7.1
1/1/86,7784.1,6.56
4/1/86,7819.8,6.21
7/1/86,7898.6,5.21
10/1/86,7939.5,5.53
1/1/87,7995,5.59
4/1/87,8084.7,5.67
7/1/87,8158,6.4
10/1/87,8292.7,5.77
1/1/88,8339.3,5.7
4/1/88,8449.5,6.46
7/1/88,8498.3,7.24
10/1/88,8610.9,8.07
1/1/89,8697.7,8.82
4/1/89,8766.1,8.15
7/1/89,8831.5,7.75
10/1/89,8850.2,7.63
1/1/90,8947.1,7.9
4/1/90,8981.7,7.73
7/1/90,8983.9,7.36
10/1/90,8907.4,6.74
1/1/91,8865.6,5.91
4/1/91,8934.4,5.57
7/1/91,8977.3,5.22
10/1/91,9016.4,4.07
1/1/92,9123,4.04
4/1/92,9223.5,3.66
7/1/92,9313.2,2.91
10/1/92,9406.5,3.22
1/1/93,9424.1,2.95
4/1/93,9480.1,3.07
7/1/93,9526.3,2.95
10/1/93,9653.5,3.06
1/1/94,9748.2,3.5
4/1/94,9881.4,4.14
7/1/94,9939.7,4.62
10/1/94,10052.5,5.6
1/1/95,10086.9,5.73
4/1/95,10122.1,5.47
7/1/95,10208.8,5.28
10/1/95,10281.2,5.14
1/1/96,10348.7,4.96
4/1/96,10529.4,5.09
7/1/96,10626.8,5.09
10/1/96,10739.1,4.91
1/1/97,10820.9,5.14
4/1/97,10984.2,4.93
7/1/97,11124,4.95
10/1/97,11210.3,5.16
1/1/98,11321.2,5.03
4/1/98,11431,4.98
7/1/98,11580.6,4.61
10/1/98,11770.7,4.39
1/1/99,11864.7,4.44
4/1/99,11962.5,4.57
7/1/99,12113.1,4.68
10/1/99,12323.3,5.2
1/1/00,12359.1,5.69
4/1/00,12592.5,5.69
7/1/00,12607.7,6
10/1/00,12679.3,5.77
1/1/01,12643.3,4.42
4/1/01,12710.3,3.49
7/1/01,12670.1,2.64
10/1/01,12705.3,1.69
1/1/02,12822.3,1.79
4/1/02,12893,1.7
7/1/02,12955.8,1.63
10/1/02,12964,1.19
1/1/03,13031.2,1.13
4/1/03,13152.1,0.92
7/1/03,13372.4,0.94
10/1/03,13528.7,0.9
1/1/04,13606.5,0.94
4/1/04,13706.2,1.27
7/1/04,13830.8,1.65
10/1/04,13950.4,2.19
1/1/05,14099.1,2.74
4/1/05,14172.7,2.97
7/1/05,14291.8,3.42
10/1/05,14373.4,3.89
1/1/06,14546.1,4.51
4/1/06,14589.6,4.79
7/1/06,14602.6,4.81
10/1/06,14716.9,4.85
1/1/07,14726,4.94
4/1/07,14838.7,4.61
7/1/07,14938.5,3.89
10/1/07,14991.8,3
1/1/08,14889.5,1.26
4/1/08,14963.4,1.86
7/1/08,14891.6,1.13
10/1/08,14577,0.03
1/1/09,14375,0.21
4/1/09,14355.6,0.18
7/1/09,14402.5,0.12
10/1/09,14541.9,0.05
1/1/10,14604.8,0.15
4/1/10,14745.9,0.12
7/1/10,14845.5,0.15
10/1/10,14939,0.14
1/1/11,14881.3,0.1
4/1/11,14989.6,0.04
7/1/11,15021.1,0.01
10/1/11,15190.3,0.01
1/1/12,15291,0.08
4/1/12,15362.4,0.09
7/1/12,15380.8,0.11
10/1/12,15384.3,0.07
1/1/13,15491.9,0.09
4/1/13,15521.6,0.05
7/1/13,15641.3,0.02
10/1/13,15793.9,0.07
1/1/14,15747,0.05
4/1/14,15900.8,0.04
7/1/14,16094.5,0.02
10/1/14,16186.7,0.03
1/1/15,16269,0.03
4/1/15,16374.2,0.02
7/1/15,16454.9,0.02
10/1/15,16490.7,0.23
1/1/16,16525,0.29
4/1/16,16583.1,0.27
7/1/16,16712.5,0.29
