DATE,NOMINAL GDP VALUE,3 MONTH T-BILL VALUE
1/1/66,797.3,4.59
4/1/66,807.2,4.5
7/1/66,820.8,5.37
10/1/66,834.9,4.96
1/1/67,846,4.26
4/1/67,851.1,3.54
7/1/67,866.6,4.42
10/1/67,883.2,4.97
1/1/68,911.1,5.17
4/1/68,936.3,5.52
7/1/68,952.3,5.19
10/1/68,970.1,5.96
1/1/69,995.4,6.02
4/1/69,1011.4,6.44
7/1/69,1032,7.09
10/1/69,1040.7,7.82
1/1/70,1053.5,6.63
4/1/70,1070.1,6.68
7/1/70,1088.5,6.12
10/1/70,1091.5,4.87
1/1/71,1137.8,3.38
4/1/71,1159.4,4.75
7/1/71,1180.3,4.69
10/1/71,1193.6,4.01
1/1/72,1233.8,3.73
4/1/72,1270.1,3.91
7/1/72,1293.8,4.66
10/1/72,1332,5.07
1/1/73,1380.7,6.09
4/1/73,1417.6,7.19
7/1/73,1436.8,8.29
10/1/73,1479.1,7.45
1/1/74,1494.7,7.96
4/1/74,1534.2,7.9
7/1/74,1563.4,8.06
10/1/74,1603,7.15
1/1/75,1619.6,5.49
4/1/75,1656.4,5.34
7/1/75,1713.8,6.42
10/1/75,1765.9,5.44
1/1/76,1824.5,5
4/1/76,1856.9,5.41
7/1/76,1890.5,5.08
10/1/76,1938.4,4.35
1/1/77,1992.5,4.6
4/1/77,2060.2,5.02
7/1/77,2122.4,5.81
10/1/77,2168.7,6.07
1/1/78,2208.7,6.29
4/1/78,2336.6,6.73
7/1/78,2398.9,7.85
10/1/78,2482.2,9.08
1/1/79,2531.6,9.48
4/1/79,2595.9,9.06
7/1/79,2670.4,10.26
10/1/79,2730.7,12.04
1/1/80,2796.5,15.2
4/1/80,2799.9,7.07
7/1/80,2860,10.27
10/1/80,2993.5,15.49
1/1/81,3131.8,13.36
4/1/81,3167.3,14.73
7/1/81,3261.2,14.7
10/1/81,3283.5,10.85
1/1/82,3273.8,12.68
4/1/82,3331.3,12.47
7/1/82,3367.1,7.92
10/1/82,3407.8,7.94
1/1/83,3480.3,8.35
4/1/83,3583.8,8.79
7/1/83,3692.3,9
10/1/83,3796.1,9
1/1/84,3912.8,9.52
4/1/84,4015,9.87
7/1/84,4087.4,10.37
10/1/84,4147.6,8.06
1/1/85,4237,8.52
4/1/85,4302.3,6.95
7/1/85,4394.6,7.1
10/1/85,4453.1,7.1
1/1/86,4516.3,6.56
4/1/86,4555.2,6.21
7/1/86,4619.6,5.21
10/1/86,4669.4,5.53
1/1/87,4736.2,5.59
4/1/87,4821.5,5.67
7/1/87,4900.5,6.4
10/1/87,5022.7,5.77
1/1/88,5090.6,5.7
4/1/88,5207.7,6.46
7/1/88,5299.5,7.24
10/1/88,5412.7,8.07
1/1/89,5527.4,8.82
4/1/89,5628.4,8.15
7/1/89,5711.6,7.75
10/1/89,5763.4,7.63
1/1/90,5890.8,7.9
4/1/90,5974.7,7.73
7/1/90,6029.5,7.36
10/1/90,6023.3,6.74
1/1/91,6054.9,5.91
4/1/91,6143.6,5.57
7/1/91,6218.4,5.22
10/1/91,6279.3,4.07
